measure_id,net_electric_energy_savings,net_gas_energy_savings,electric_benefits,gas_benefits,electric_ghg_savings,gas_ghg_savings,total_ghg_benefits,total_benefits,trc_ratio,pac_ratio,total_benefits_per_mwh,total_benefits_per_therm
MAR101323,14664.044908882119,,133346.51321132583,,382.5709104525986,,382.5709104525986,133346.51321132583,6.385787275175675,15.534744313946513,9.093433226637002,
MAR101321,8417.937990166247,,78295.89691923416,,221.53607072838895,,221.53607072838895,78295.89691923416,1.568314887145404,2.9426948546789813,9.301077889941535,
MAR101322,17925.951270969585,,166730.6690453844,,471.7598078081901,,471.7598078081901,166730.6690453844,6.215271127734553,10.160922043855814,9.301077891213424,
MAR100695,-3622.3330876019318,,-33114.869042166596,,-93.09609198663588,,-93.09609198663588,-33114.869042166596,-2.5086468929335717,-13.979183072089679,9.141861955077523,
MAR101162,-13086.766671717167,,-116510.9376761926,,-336.3376045305822,,-336.3376045305822,-116510.9376761926,-2.7056331779329543,-5.985279017591606,8.902958278303645,
MAR101157,27380.101782465354,,244644.88458783153,,703.6847281329792,,703.6847281329792,244644.88458783153,4.462377292068216,10.137980920390017,8.935134227459518,
MAR101160,42164.23414360732,,372773.22324373387,,1083.6456293606861,,1083.6456293606861,372773.22324373387,10.133607507984442,24.644012260912106,8.840981718631582,
MAR101159,12941.793229009956,,115220.24525526099,,332.6117019001922,,332.6117019001922,115220.24525526099,2.703217313393437,7.0626390525150216,8.902958285331476,
MAR101161,36385.2368680872,,323936.24563594663,,935.1219990882237,,935.1219990882237,323936.24563594663,7.562267930709552,16.430645722399976,8.902958274268236,
MAR100595,41065.87461095676,,366929.10183970456,,1055.417143810053,,1055.417143810053,366929.10183970456,5.789007971282346,14.217434444915318,8.935134228014334,
MAR101096,26225.585345143452,,249379.82332676655,,692.0302514481918,,692.0302514481918,249379.82332676655,4.269411991602865,19.416690814386456,9.509027922343307,
MAR101158,85968.47258667648,,785911.9082620933,,2209.440335285304,,2209.440335285304,785911.9082620933,25.997895357272835,59.44137865209357,9.1418619479334,
MAR100562,30528.915885329247,,269905.5875316344,,784.611103429288,,784.611103429288,269905.5875316344,5.514762770127816,14.965048851184163,8.84098172845169,
MAR101024,34952.908915858716,,308778.1236404603,,903.5046382661749,,903.5046382661749,308778.1236404603,2.988053322668869,5.3950386307976945,8.834118052485255,
MAR101094,28928.28845896572,,258535.70258017268,,747.7730354027026,,747.7730354027026,258535.70258017268,6.236516146358876,15.87644580911033,8.937124052357994,
MAR101093,9375.340345272794,,83458.5530618503,,242.34502215813427,,242.34502215813427,83458.5530618503,2.79525671754844,14.76703395558181,8.90192248902532,
MAR100628,42632.07998111844,,379507.4715161892,,1102.005045890368,,1102.005045890368,379507.4715161892,2.480730307500743,10.326832708661588,8.901922488517366,
MAR101156,42166.123420301825,,376843.87548364943,,1089.960442767122,,1089.960442767122,376843.87548364943,8.349028616029386,20.285846756202094,8.937124044516967,
MAR100661,30510.80251919478,,271604.79916697205,,788.6797537399016,,788.6797537399016,271604.79916697205,1.810621709690485,8.060596763018015,8.901922491094805,
MAR101092,18852.30931909941,,167821.796293638,,487.3170627035706,,487.3170627035706,167821.796293638,2.224117072940959,5.027705835018855,8.901922488807063,
MAR101424,3059.3292963071144,,27913.055483517797,,76.04346979021511,,76.04346979021511,27913.055483517797,6.524778987536689,14.36614977737594,9.123913374480924,
MAR101486,13360.51488663652,,117159.27978577587,,332.0923679970824,,332.0923679970824,117159.27978577587,25.130306364177354,65.75591199007202,8.769069214762162,
MAR101388,-14793.623449497856,,-128909.26573437793,,-367.7140800706361,,-367.7140800706361,-128909.26573437793,-23.9842608990477,-35.569340837930206,8.713839863130593,
MAR101421,3118.566513641097,,27174.689225150003,,77.51588518686435,,77.51588518686435,27174.689225150003,10.399548978443223,20.701119219915253,8.713839870428822,
MAR101425,-673.8212781965995,,-5871.570712433308,,-16.748673660922492,,-16.748673660922492,-5871.570712433308,-1.0021199832079712,-2.875404666238025,8.71383985995196,
MAR101422,44042.67266195174,,383780.7968386954,,1094.7359121296631,,1094.7359121296631,383780.7968386954,25.28714304227124,50.600284354335045,8.713839865813634,
MAR101420,-10329.802290948923,,-88913.34228001359,,-256.7602020387012,,-256.7602020387012,-88913.34228001359,-5.693821801516466,-11.544473520325688,8.607458281938305,
E1,-420.7500305598252,25499.999874830246,-3481.5825966393213,5341.3530258907085,-12.637183882885427,25.499999304302037,12.86281542141661,1859.7704292513872,0.4994111517570232,0.7522148568581248,8.274705511029751,0.20946482557291643
E2,-841.5000611196504,50999.99974966049,-6963.165193278641,10682.706051781417,-25.274367765770855,50.99999860860407,25.72563084283322,3719.5408585027762,0.998822303514047,1.5044297137162506,8.27470551102975,0.20946482557291643
E3,-230.99999663544622,30000.000697374344,-4034.529991871958,6627.277553029897,-7.753596924435062,30.00000008381903,22.24640315938397,2592.747561157939,0.6572594699070822,1.0486795600738346,17.465498054699417,0.22090924663244854
E4,-115.49999831772311,15000.000348687172,-2017.264995935979,3313.638776514948,-3.876798462217531,15.000000041909516,11.123201579691985,1296.373780578969,0.4040323443104759,0.5243397800369172,17.465498054699417,0.22090924663244849
E5,-1225781.5729558966,,-13746415.6550248,,-38727.96395088485,,-38727.96395088485,-13746415.6550248,-3842.657986604762,-5559.151787432348,11.214408797055228,
E6,-1225781.5729558964,,-15047811.29063775,,-39599.688880956775,,-39599.688880956775,-15047811.29063775,-4206.448698192383,-6085.445772383245,12.276095205405058,
E7,-1225781.5729558964,,-15047811.29063775,,-39599.688880956775,,-39599.688880956775,-15047811.29063775,-4066.9220858261833,-5077.421079562998,12.276095205405058,
E8,-230802.98402320594,,-3861915.170492104,,-7572.568795269766,,-7572.568795269766,-3861915.170492104,-890.7070257146171,-1118.4931471480645,16.73251837204934,
E9,-230802.98402320594,,-3930963.685438305,,-7587.2491084802205,,-7587.2491084802205,-3930963.685438305,-736.7168750008143,-882.8102883068955,17.031684846167625,
E10,-230802.98402320594,,-3976337.01866332,,-7608.678425763868,,-7608.678425763868,-3976337.01866332,-627.5996277826058,-729.2305889302967,17.228273869559338,
MAR101387,15840.71710204496,,138033.47224775943,,393.74090712269344,,393.74090712269344,138033.47224775943,35.94518833110006,65.53325028760776,8.713839869657162,
MAR101423,6470.657340977574,,56384.27187291613,,160.83631029265462,,160.83631029265462,56384.27187291613,16.58808562279088,40.691861722268364,8.713839862272433,
MAR101095,67087.5843193084,,592659.6399891757,,1734.1602023506857,,1734.1602023506857,592659.6399891757,10.559569623943736,21.910099764210578,8.83411805630633,
